Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778707455,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778707456,10,,Aggregated,0.000000,0.000000,27,33,630,630,630,640,650,650,650,650,650,22,0,26,189.56980490946245,3.6202080009388737,645.3250000013213,249.22727272727272
1778707457,20,,Aggregated,0.000000,0.000000,26,33,140,340,630,630,640,650,650,650,650,54,0,24,129.1994784075912,2.1240839996607974,645.3250000013213,232.12962962962962
1778707458,30,,Aggregated,18.000000,0.000000,19,33,84,140,340,630,640,650,650,650,650,100,0,18,91.240555430104,2.1240839996607974,645.3250000013213,213.28
1778707459,40,,Aggregated,22.500000,0.000000,18,33,92,140,430,630,670,670,790,790,790,128,0,18,104.4410553594588,2.1240839996607974,789.3966249994264,215.2734375
1778707460,50,,Aggregated,29.333333,0.000000,21,48,94,140,520,670,820,980,1000,1000,1000,152,0,21,129.47763298032106,2.1240839996607974,1026.8237089985632,222.84868421052633
1778707461,60,,Aggregated,30.000000,0.000000,24,85,140,250,790,1000,1100,1300,1300,1300,1300,196,0,24,181.1991936786083,2.1240839996607974,1319.9861670000246,226.87755102040816
1778707462,70,,Aggregated,30.000000,0.000000,27,89,130,270,820,1100,1100,1200,1300,1300,1300,219,0,27,189.61772605026667,2.1240839996607974,1319.9861670000246,231.68949771689498
1778707463,80,,Aggregated,31.500000,0.000000,29,93,140,340,910,1200,1400,1800,1900,1900,1900,254,0,29,225.47164077955884,2.1240839996607974,1917.5897500008432,230.2795275590551
1778707464,90,,Aggregated,30.428571,0.000000,29,94,190,340,1000,1300,1900,2200,2600,2600,2600,276,0,29,250.15425078988525,2.1240839996607974,2563.8464160001604,234.71014492753622
1778707465,100,,Aggregated,30.750000,0.000000,27,94,200,300,1000,1300,1900,2500,2900,2900,2900,296,0,27,253.48650510476227,2.1240839996607974,2907.470332998855,237.51013513513513
1778707466,100,,Aggregated,30.111111,0.000000,29,99,200,420,1100,1800,2900,2900,3800,3800,3800,312,0,29,320.73934979808445,2.1240839996607974,3815.5689160012116,238.92307692307693
1778707467,100,,Aggregated,29.100000,0.000000,29,100,210,430,1100,1900,3500,3700,4300,4300,4300,326,0,29,357.21058017485575,2.1240839996607974,4307.781249999607,239.65337423312883
