Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth: GET /qr/generate,1873,0,100.0,157.5788220688826,3.079250000155298,1300.450999999157,203.0,6.255270369693895,0.0,100,170,200,200,300,400,560,700,1100,1300,1300
POST,auth: POST /login,2131,0,7600.0,7735.8041036856075,1126.6421250002168,19098.99566599961,298.0,7.116914659806563,0.0,7600,8700,9400,9900,11000,12000,14000,14000,18000,19000,19000
POST,auth: POST /login (health_user),8,0,1700.0,1887.495885250246,1227.069250000568,3520.9135829991283,405.0,0.026717652406594322,0.0,1900,1900,1900,1900,3500,3500,3500,3500,3500,3500,3500
POST,auth: POST /login (wrong password),246,0,12000.0,12497.031783703265,2827.6900419987214,21728.80512499978,42.0,0.8215678115027754,0.0,13000,14000,15000,16000,17000,18000,20000,21000,22000,22000,22000
GET,form: GET /questionnaires/active,1150,0,5,6.122671027842443,1.5493749997403938,46.841375000440166,498.0,3.840662533447934,0.0,5,5,6,6,10,15,29,34,44,47,47
POST,form: POST /surveys (asymptomatic),2259,0,6,7.32592414120029,2.1585829999821726,57.3505419997673,340.0,7.544397098312071,0.0,6,7,7,8,11,14,24,47,54,57,57
POST,gateway: POST /gate/validate (healthy),174,0,4,5.572259557470977,1.887291999082663,47.869916999843554,61.0,0.5811089398434265,0.0,4,5,5,6,10,12,14,46,48,48,48
POST,gateway: POST /gate/validate (invalid token),317,0,4,5.056906287022297,1.6672500005370239,51.915207999627455,67.0,1.0586869766113,0.0,4,5,5,6,8,12,16,18,52,52,52
GET,promotion: GET /health-status/stats,298,0,7,9.761444104031813,3.595167001549271,59.00841699985904,96.0,0.9952325521456385,0.0,7,8,9,11,17,32,39,47,59,59,59
GET,promotion: GET /health-status/stats/department,109,0,7,11.393517229366015,3.830042000117828,58.07812499915599,140.23853211009174,0.36402801403984764,0.0,7,8,10,11,30,45,49,50,58,58,58
GET,promotion: GET /mesh/stats/{id},306,0,10,12.292699359474438,5.42200000018056,64.09787499978847,41.0,1.0219502045522328,0.0,10,12,13,14,17,33,41,44,64,64,64
POST,promotion: POST /health/confirmed,302,0,9,10.968804910631986,4.125125000427943,50.52329099999042,0.0,1.0085913783489358,0.0,9,10,12,13,16,30,42,47,51,51,51
,Aggregated,9173,0,14,2170.1625815047514,1.5493749997403938,21728.80512499978,267.9474544859915,30.635128190711214,0.0,14,110,3300,5900,8700,11000,13000,15000,19000,22000,22000
