Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778707814,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778707815,20,,Aggregated,0.000000,0.000000,33,33,36,36,37,39,39,39,39,39,39,12,0,23,22.97477441713151,3.227959001378622,39.46654200080957,324.5
1778707816,40,,Aggregated,0.000000,0.000000,38,48,100,1100,1300,1400,1900,1900,1900,1900,1900,42,0,37,351.97753478565744,3.227959001378622,1924.7961249984655,288.76190476190476
1778707817,60,,Aggregated,12.000000,0.000000,37,48,130,1100,1600,1900,2500,2800,2800,2800,2800,78,0,37,388.59041192301027,3.227959001378622,2827.6900419987214,264.64102564102564
1778707818,80,,Aggregated,20.000000,0.000000,36,48,130,1100,1700,2000,2600,2800,2800,2800,2800,114,0,35,397.7704006315514,3.227959001378622,2827.6900419987214,259.0701754385965
1778707819,100,,Aggregated,24.666667,0.000000,35,90,130,310,1900,2600,3100,3500,3700,3700,3700,155,0,35,439.3551799031904,2.5736669995239936,3728.627083999527,246.03225806451613
1778707820,120,,Aggregated,24.666667,0.000000,36,62,110,220,1900,2600,3500,3700,3800,3800,3800,186,0,35,432.0860728547941,2.5736669995239936,3794.174667000334,247.11827956989248
1778707821,140,,Aggregated,30.400000,0.000000,37,59,120,280,2000,2800,3500,3700,3800,3800,3800,225,0,37,447.6908457910839,2.5736669995239936,3794.174667000334,252.8311111111111
1778707822,160,,Aggregated,31.000000,0.000000,34,49,100,220,1900,2800,3500,3700,3800,3800,3800,253,0,34,423.4632708023358,2.5736669995239936,3822.642040999199,254.73517786561266
1778707823,180,,Aggregated,31.714286,0.000000,34,50,110,280,2000,3000,3800,4300,5300,5300,5300,298,0,34,455.0587768926013,2.5736669995239936,5320.639540999764,255.08053691275168
1778707824,200,,Aggregated,31.375000,0.000000,33,51,170,310,2400,3600,4500,5100,5300,5300,5300,340,0,33,527.5719495499609,2.5736669995239936,5320.639540999764,257.99117647058824
1778707825,200,,Aggregated,33.000000,0.000000,33,59,200,460,2600,4000,5100,5400,6700,6700,6700,362,0,33,615.8733686988703,2.5736669995239936,6717.55445800045,257.1988950276243
1778707826,200,,Aggregated,33.600000,0.000000,33,90,210,600,3400,4800,6000,6500,8700,8700,8700,398,0,33,727.487384648221,2.5736669995239936,8721.597415998986,261.4572864321608
1778707827,200,,Aggregated,34.800000,0.000000,33,93,200,600,3500,5000,6400,6600,8700,8700,8700,428,0,33,749.5729264205522,2.5736669995239936,8721.597415998986,264.8738317757009
1778707828,200,,Aggregated,35.400000,0.000000,33,97,210,730,3700,5100,6500,6600,8700,8700,8700,450,0,33,798.2941136266528,2.5736669995239936,8721.597415998986,264.00888888888886
1778707829,200,,Aggregated,35.000000,0.000000,33,97,220,800,3900,5400,6600,7500,9400,9400,9400,474,0,33,852.422663164557,2.5736669995239936,9381.385583999872,265.76582278481015
1778707830,200,,Aggregated,33.400000,0.000000,33,100,290,1200,4500,6000,7500,8400,11000,11000,11000,506,0,33,969.5482939091006,2.5736669995239936,11426.914958001362,266.4387351778656
1778707831,200,,Aggregated,31.700000,0.000000,33,100,300,1300,4700,6400,8100,8700,11000,11000,11000,536,0,33,1018.056002662332,2.5736669995239936,11426.914958001362,268.7649253731343
1778707832,200,,Aggregated,31.400000,0.000000,33,100,300,1700,5100,7000,8900,10000,13000,13000,13000,564,0,33,1158.9361987375953,2.5736669995239936,13296.555290999095,267.9255319148936
1778707833,200,,Aggregated,31.100000,0.000000,33,100,300,1600,5300,7100,9200,10000,13000,13000,13000,601,0,33,1171.244953420961,1.7922499991982477,13296.555290999095,268.0881863560732
1778707834,200,,Aggregated,30.900000,0.000000,33,100,300,1700,5400,7800,9400,11000,13000,13000,13000,625,0,33,1232.0834260768029,1.7922499991982477,13296.555290999095,269.8576
1778707835,200,,Aggregated,30.000000,0.000000,33,100,300,1900,5600,8100,9400,11000,13000,13000,13000,661,0,33,1303.656158921334,1.7922499991982477,13296.555290999095,269.44326777609683
1778707836,200,,Aggregated,28.300000,0.000000,33,100,310,2100,6000,8300,9400,11000,13000,13000,13000,684,0,33,1354.7534672383074,1.7922499991982477,13296.555290999095,269.7953216374269
1778707837,200,,Aggregated,29.100000,0.000000,33,100,310,2100,6100,8300,9400,11000,13000,13000,13000,708,0,32,1368.8351556751502,1.7922499991982477,13296.555290999095,271.8742937853107
1778707838,200,,Aggregated,28.700000,0.000000,32,100,300,2000,6100,8300,9900,11000,13000,13000,13000,742,0,32,1361.5821851495873,1.7922499991982477,13296.555290999095,272.85849056603774
1778707839,200,,Aggregated,27.700000,0.000000,33,100,460,2500,6500,8300,9900,11000,13000,13000,13000,772,0,33,1441.3160224598312,1.7922499991982477,13296.555290999095,272.0997409326425
1778707840,200,,Aggregated,28.500000,0.000000,33,100,460,2600,6600,8500,10000,11000,16000,16000,16000,803,0,33,1479.420670935238,1.7922499991982477,16400.778125000215,272.2067247820672
1778707841,200,,Aggregated,29.800000,0.000000,33,100,460,2800,6600,8600,10000,11000,16000,16000,16000,830,0,33,1507.251245798786,1.7922499991982477,16400.778125000215,271.49036144578315
1778707842,200,,Aggregated,29.800000,0.000000,32,100,500,3000,6700,8700,11000,12000,17000,17000,17000,855,0,32,1545.8553338830325,1.7922499991982477,17499.66004199996,272.22222222222223
1778707843,200,,Aggregated,29.300000,0.000000,32,100,500,3000,6700,8700,11000,12000,17000,17000,17000,884,0,32,1557.1085756165041,1.7922499991982477,17499.66004199996,272.80882352941177
1778707844,200,,Aggregated,28.900000,0.000000,32,100,500,3100,7000,8900,11000,12000,17000,17000,17000,919,0,32,1580.6107404918305,1.7922499991982477,17499.66004199996,271.5701849836779
1778707845,200,,Aggregated,28.000000,0.000000,31,100,410,3000,6900,8800,11000,12000,17000,17000,17000,947,0,31,1562.6642955490934,1.7922499991982477,17499.66004199996,271.2661034846885
1778707846,200,,Aggregated,29.300000,0.000000,31,100,500,3400,7100,9000,11000,12000,17000,17000,17000,982,0,31,1623.2951124113974,1.7922499991982477,17499.66004199996,270.0835030549898
1778707847,200,,Aggregated,29.000000,0.000000,30,100,460,3200,7100,9000,11000,12000,16000,17000,17000,1007,0,30,1615.8684277288917,1.7922499991982477,17499.66004199996,270.0377358490566
1778707848,200,,Aggregated,29.000000,0.000000,30,100,590,3600,7300,9200,11000,12000,16000,17000,17000,1045,0,30,1670.26185391961,1.7922499991982477,17499.66004199996,269.67081339712917
1778707849,200,,Aggregated,30.200000,0.000000,30,100,600,3600,7300,9200,11000,12000,16000,17000,17000,1080,0,30,1669.464969878693,1.7922499991982477,17499.66004199996,269.64722222222224
1778707850,200,,Aggregated,30.600000,0.000000,29,100,500,3500,7200,9200,11000,12000,16000,17000,17000,1108,0,28,1653.2340679999932,1.7922499991982477,17499.66004199996,269.55324909747293
1778707851,200,,Aggregated,30.600000,0.000000,29,100,500,3500,7500,9300,11000,12000,16000,17000,17000,1137,0,29,1674.502039291112,1.7922499991982477,17499.66004199996,270.1231310466139
1778707852,200,,Aggregated,30.600000,0.000000,29,100,500,3600,7500,9300,11000,12000,16000,17000,17000,1169,0,29,1692.7901479563695,1.7922499991982477,17499.66004199996,269.9828913601369
1778707853,200,,Aggregated,30.400000,0.000000,27,100,460,3600,7500,9300,11000,12000,16000,17000,17000,1199,0,27,1685.9963021284411,1.7922499991982477,17499.66004199996,270.2977481234362
1778707854,200,,Aggregated,31.000000,0.000000,28,100,500,3700,7500,9400,11000,12000,16000,17000,17000,1232,0,28,1711.4534398035698,1.6689170006429777,17499.66004199996,270.0982142857143
1778707855,200,,Aggregated,31.100000,0.000000,28,100,500,3700,7500,9400,11000,13000,16000,17000,17000,1261,0,28,1726.3985243235559,1.6689170006429777,17499.66004199996,269.20142743854086
1778707856,200,,Aggregated,31.200000,0.000000,28,100,500,3800,7600,9600,12000,13000,17000,17000,17000,1293,0,28,1750.4710123433965,1.6689170006429777,17499.66004199996,269.28692962103634
1778707857,200,,Aggregated,31.200000,0.000000,28,100,500,3800,7700,9600,12000,13000,17000,17000,17000,1332,0,28,1749.2511036967048,1.6689170006429777,17499.66004199996,269.2364864864865
