Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth: GET /qr/generate,489,0,4,4.275985619685375,1.84600000102364,35.38608300004853,203.0,4.094418672083031,0.0,4,4,4,5,6,8,13,24,35,35,35
POST,auth: POST /login,520,0,89,97.42757859804932,69.04633399972226,192.60316699910618,298.0,4.3539830459778655,0.0,90,99,110,120,140,150,150,160,190,190,190
POST,auth: POST /login (health_user),1,0,87.50849999887578,87.50849999887578,87.50849999887578,87.50849999887578,405.0,0.008373044319188202,0.0,88,88,88,88,88,88,88,88,88,88,88
POST,auth: POST /login (wrong password),13,0,180.0,191.42185876947994,140.16691600045306,264.45954100017843,42.0,0.10884957614944663,0.0,180,200,210,240,250,260,260,260,260,260,260
GET,form: GET /questionnaires/active,2,0,25.250999999116175,37.22558350000327,25.250999999116175,49.20016700089036,498.0,0.016746088638376403,0.0,49,49,49,49,49,49,49,49,49,49,49
POST,form: POST /surveys (asymptomatic),2,2,60012.05279199894,60012.560645999656,60012.05279199894,60013.06850000037,40.0,0.016746088638376403,0.016746088638376403,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
POST,gateway: POST /gate/validate (healthy),473,0,5,6.8892771902551475,2.8271250012039673,53.57937500048138,66.35306553911205,3.9604499629760195,0.0,5,7,7,8,11,14,19,45,54,54,54
POST,gateway: POST /gate/validate (invalid token),103,0,5,5.867331271871893,2.6184170001215534,16.73987499998475,67.0,0.8624235648763848,0.0,5,6,7,7,10,12,15,16,17,17,17
GET,promotion: GET /health-status/stats,6,0,13,22.175319833271107,9.020458999657421,52.73283399947104,96.0,0.05023826591512921,0.0,16,16,31,31,53,53,53,53,53,53,53
GET,promotion: GET /health-status/stats/department,2,0,13.147040999683668,23.35864550059341,13.147040999683668,33.570250001503155,153.0,0.016746088638376403,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,promotion: GET /mesh/stats/{id},8,0,23,51.307239624748036,15.554499999780091,253.62595899969165,41.0,0.06698435455350561,0.0,23,27,35,35,250,250,250,250,250,250,250
POST,promotion: POST /health/confirmed,5,0,21,23.37756659981096,12.528707999081234,40.80466699997487,0.0,0.04186522159594101,0.0,21,27,27,41,41,41,41,41,41,41,41
,Aggregated,1624,2,6,110.8367864248795,1.84600000102364,60013.06850000037,182.11206896551724,13.59782397436164,0.016746088638376403,6,27,79,84,110,130,150,170,60000,60000,60000
